profile_id,email,first_name,last_name,phone,organization,city,region,country,timezone,created_at,updated_at,last_event_date,utm_source,utm_medium,utm_campaign,predicted_clv,churn_risk
P027,elizabeth.nelson@email.com,Elizabeth,Nelson,+64211234027,,Wellington,Wellington,NZ,Pacific/Auckland,2024-04-10T14:30:00Z,2024-10-05T11:00:00Z,2024-10-01T10:15:00Z,facebook,paid_social,,92.00,0.32
P028,henry.carter@email.com,Henry,Carter,+64211234028,,Hamilton,Waikato,NZ,Pacific/Auckland,2024-02-28T10:00:00Z,2024-09-01T12:00:00Z,2024-08-28T15:30:00Z,instagram,influencer,,78.00,0.40
P029,grace.mitchell@email.com,Grace,Mitchell,+64211234029,,Tauranga,Bay of Plenty,NZ,Pacific/Auckland,2024-05-20T13:00:00Z,2024-10-15T10:00:00Z,2024-10-10T11:45:00Z,email,promo,,65.00,0.38
P030,samuel.perez@email.com,Samuel,Perez,+64211234030,,Auckland,Auckland,NZ,Pacific/Auckland,2024-01-10T09:30:00Z,2024-08-20T14:00:00Z,2024-08-15T09:00:00Z,referral,friend,,110.00,0.42
P031,victoria.roberts@email.com,Victoria,Roberts,+64211234031,Roberts Events,Auckland,Auckland,NZ,Pacific/Auckland,2023-03-20T11:00:00Z,2024-11-18T10:00:00Z,2024-11-15T13:30:00Z,google,cpc,discount_lovers,680.00,0.20
P032,christopher.turner@email.com,Christopher,Turner,+64211234032,,Wellington,Wellington,NZ,Pacific/Auckland,2023-05-15T14:00:00Z,2024-11-20T11:00:00Z,2024-11-18T09:45:00Z,facebook,paid_social,flash_sale,520.00,0.18
P033,scarlett.phillips@email.com,Scarlett,Phillips,+64211234033,,Christchurch,Canterbury,NZ,Pacific/Auckland,2023-07-08T10:30:00Z,2024-11-15T12:00:00Z,2024-11-12T14:00:00Z,email,promo_blast,,890.00,0.15
P034,andrew.campbell@email.com,Andrew,Campbell,+64211234034,Campbell Catering,Hamilton,Waikato,NZ,Pacific/Auckland,2023-02-14T15:00:00Z,2024-11-19T09:00:00Z,2024-11-17T11:30:00Z,direct,,,750.00,0.22
P035,penelope.parker@email.com,Penelope,Parker,+64211234035,,Dunedin,Otago,NZ,Pacific/Auckland,2023-09-25T11:30:00Z,2024-11-21T10:00:00Z,2024-11-20T15:00:00Z,google,cpc,clearance,480.00,0.25
P036,jack.evans@email.com,Jack,Evans,+64211234036,,Auckland,Auckland,NZ,Pacific/Auckland,2024-06-01T09:00:00Z,2024-11-10T11:00:00Z,2024-11-08T10:00:00Z,instagram,organic,,0.00,0.60
P037,aria.edwards@email.com,Aria,Edwards,+64211234037,,Wellington,Wellington,NZ,Pacific/Auckland,2024-05-15T13:30:00Z,2024-11-18T14:00:00Z,2024-11-16T09:30:00Z,facebook,lead_ad,,0.00,0.55
P038,ryan.collins@email.com,Ryan,Collins,+64211234038,,Christchurch,Canterbury,NZ,Pacific/Auckland,2024-07-20T10:00:00Z,2024-11-20T10:00:00Z,2024-11-19T12:00:00Z,email,welcome_series,,0.00,0.50
P039,lily.stewart@email.com,Lily,Stewart,+64211234039,,Queenstown,Otago,NZ,Pacific/Auckland,2024-04-08T14:30:00Z,2024-11-15T11:00:00Z,2024-11-12T14:45:00Z,google,display,,0.00,0.58
P040,nathan.sanchez@email.com,Nathan,Sanchez,+64211234040,,Auckland,Auckland,NZ,Pacific/Auckland,2024-08-25T11:00:00Z,2024-11-19T09:30:00Z,2024-11-17T16:00:00Z,referral,blog,,0.00,0.52
P041,zoey.morris@email.com,Zoey,Morris,+64211234041,,Nelson,Nelson,NZ,Pacific/Auckland,2024-03-10T10:00:00Z,2024-06-15T11:00:00Z,2024-03-12T09:00:00Z,google,cpc,,0.00,0.90
P042,caleb.rogers@email.com,Caleb,Rogers,+64211234042,,Napier,Hawkes Bay,NZ,Pacific/Auckland,2024-02-20T14:00:00Z,2024-05-01T10:00:00Z,2024-02-22T11:30:00Z,facebook,paid_social,,0.00,0.92
P043,hannah.reed@email.com,Hannah,Reed,+64211234043,,Rotorua,Bay of Plenty,NZ,Pacific/Auckland,2024-01-15T09:30:00Z,2024-04-20T12:00:00Z,2024-01-18T14:00:00Z,email,newsletter,,0.00,0.95
P044,isaac.cook@email.com,Isaac,Cook,+64211234044,,Palmerston North,Manawatu,NZ,Pacific/Auckland,2024-04-25T11:00:00Z,2024-07-10T09:00:00Z,2024-04-28T10:15:00Z,direct,,,0.00,0.88
P045,nora.morgan@email.com,Nora,Morgan,+64211234045,,Auckland,Auckland,NZ,Pacific/Auckland,2023-12-05T13:30:00Z,2024-03-15T11:00:00Z,2023-12-08T15:00:00Z,instagram,organic,,0.00,0.93
P046,lucas.bell@email.com,Lucas,Bell,+64211234046,Bell Bakehouse,Auckland,Auckland,NZ,Pacific/Auckland,2022-06-10T10:00:00Z,2024-11-20T12:00:00Z,2024-11-18T10:30:00Z,google,cpc,loyal_program,1850.00,0.08
P047,chloe.murphy@email.com,Chloe,Murphy,+64211234047,,Wellington,Wellington,NZ,Pacific/Auckland,2022-08-22T14:30:00Z,2024-11-19T09:00:00Z,2024-11-17T14:00:00Z,facebook,retargeting,,1420.00,0.10
P048,owen.bailey@email.com,Owen,Bailey,+64211234048,,Christchurch,Canterbury,NZ,Pacific/Auckland,2022-10-15T11:00:00Z,2024-11-21T10:00:00Z,2024-11-20T09:45:00Z,email,newsletter,,1680.00,0.07
P049,layla.rivera@email.com,Layla,Rivera,+64211234049,Rivera Cafe,Hamilton,Waikato,NZ,Pacific/Auckland,2022-12-08T15:00:00Z,2024-11-18T11:00:00Z,2024-11-16T12:30:00Z,direct,,,1350.00,0.12
P050,elijah.cooper@email.com,Elijah,Cooper,+64211234050,,Tauranga,Bay of Plenty,NZ,Pacific/Auckland,2023-01-20T10:30:00Z,2024-11-20T14:00:00Z,2024-11-19T11:00:00Z,google,organic,,1100.00,0.14
P051,aurora.richardson@email.com,Aurora,Richardson,+64211234051,,Auckland,Auckland,NZ,Pacific/Auckland,2022-04-18T09:00:00Z,2024-11-21T10:00:00Z,2024-11-20T15:30:00Z,referral,vip_invite,,4200.00,0.02
P052,logan.cox@email.com,Logan,Cox,+64211234052,Cox Imports,Wellington,Wellington,NZ,Pacific/Auckland,2022-02-28T11:30:00Z,2024-11-19T12:00:00Z,2024-11-18T09:00:00Z,google,cpc,premium,3800.00,0.03
P053,savannah.ward@email.com,Savannah,Ward,+64211234053,,Christchurch,Canterbury,NZ,Pacific/Auckland,2022-07-14T14:00:00Z,2024-11-20T09:30:00Z,2024-11-19T14:15:00Z,facebook,lookalike,,2950.00,0.05
P054,jackson.peterson@email.com,Jackson,Peterson,+64211234054,,Queenstown,Otago,NZ,Pacific/Auckland,2022-05-05T10:00:00Z,2024-11-18T11:00:00Z,2024-11-16T10:00:00Z,instagram,paid_social,,3100.00,0.04
P055,stella.gray@email.com,Stella,Gray,+64211234055,Gray Hospitality,Auckland,Auckland,NZ,Pacific/Auckland,2022-09-22T13:30:00Z,2024-11-21T14:00:00Z,2024-11-20T11:30:00Z,direct,,,4500.00,0.02
P056,aiden.ramirez@email.com,Aiden,Ramirez,+64211234056,,Dunedin,Otago,NZ,Pacific/Auckland,2023-08-10T11:00:00Z,2024-11-15T10:00:00Z,2024-11-12T09:30:00Z,google,cpc,summer_treats,480.00,0.28
P057,maya.james@email.com,Maya,James,+64211234057,,Nelson,Nelson,NZ,Pacific/Auckland,2023-10-25T14:30:00Z,2024-11-18T12:00:00Z,2024-11-15T14:00:00Z,facebook,paid_social,,520.00,0.25
P058,sebastian.watson@email.com,Sebastian,Watson,+64211234058,,Auckland,Auckland,NZ,Pacific/Auckland,2023-06-15T10:00:00Z,2024-11-19T09:00:00Z,2024-11-17T11:45:00Z,email,reengagement,,390.00,0.30
P059,leah.brooks@email.com,Leah,Brooks,+64211234059,,Wellington,Wellington,NZ,Pacific/Auckland,2023-11-30T15:00:00Z,2024-11-20T11:00:00Z,2024-11-18T10:00:00Z,instagram,organic,,450.00,0.22
P060,gabriel.kelly@email.com,Gabriel,Kelly,+64211234060,Kelly Sweets,Hamilton,Waikato,NZ,Pacific/Auckland,2023-04-20T09:30:00Z,2024-11-21T10:00:00Z,2024-11-20T13:30:00Z,google,organic,,620.00,0.18
P061,aubrey.howard@email.com,Aubrey,Howard,+64211234061,,Auckland,Auckland,NZ,Pacific/Auckland,2024-11-01T10:00:00Z,2024-11-18T11:00:00Z,2024-11-15T14:00:00Z,google,cpc,new_arrival,165.00,0.20
P062,eli.sanders@email.com,Eli,Sanders,+64211234062,,Wellington,Wellington,NZ,Pacific/Auckland,2024-10-20T14:30:00Z,2024-11-19T09:30:00Z,2024-11-17T10:30:00Z,facebook,paid_social,,198.00,0.18
P063,addison.price@email.com,Addison,Price,+64211234063,,Christchurch,Canterbury,NZ,Pacific/Auckland,2024-11-05T11:00:00Z,2024-11-20T12:00:00Z,2024-11-19T09:00:00Z,instagram,influencer,,145.00,0.22
P064,miles.bennett@email.com,Miles,Bennett,+64211234064,,Tauranga,Bay of Plenty,NZ,Pacific/Auckland,2024-10-28T09:00:00Z,2024-11-15T10:00:00Z,2024-11-12T15:15:00Z,email,welcome_series,,175.00,0.25
P065,ellie.wood@email.com,Ellie,Wood,+64211234065,,Auckland,Auckland,NZ,Pacific/Auckland,2024-11-10T13:30:00Z,2024-11-21T09:00:00Z,2024-11-20T10:00:00Z,direct,,,210.00,0.15
P066,ezra.barnes@email.com,Ezra,Barnes,+64211234066,,Napier,Hawkes Bay,NZ,Pacific/Auckland,2023-05-08T10:00:00Z,2024-09-15T11:00:00Z,2024-09-10T14:30:00Z,google,cpc,,720.00,0.42
P067,violet.ross@email.com,Violet,Ross,+64211234067,,Rotorua,Bay of Plenty,NZ,Pacific/Auckland,2023-07-22T14:00:00Z,2024-10-01T10:00:00Z,2024-09-28T09:00:00Z,facebook,retargeting,,580.00,0.48
P068,lincoln.henderson@email.com,Lincoln,Henderson,+64211234068,,Auckland,Auckland,NZ,Pacific/Auckland,2023-03-15T11:30:00Z,2024-08-20T12:00:00Z,2024-08-15T11:30:00Z,email,newsletter,,950.00,0.55
P069,hazel.coleman@email.com,Hazel,Coleman,+64211234069,,Wellington,Wellington,NZ,Pacific/Auckland,2023-09-05T09:00:00Z,2024-10-10T09:30:00Z,2024-10-05T14:00:00Z,instagram,organic,,420.00,0.50
P070,max.jenkins@email.com,Max,Jenkins,+64211234070,Jenkins Patisserie,Christchurch,Canterbury,NZ,Pacific/Auckland,2023-01-30T15:30:00Z,2024-09-05T11:00:00Z,2024-09-01T10:15:00Z,direct,,,1100.00,0.45
P071,ivy.perry@email.com,Ivy,Perry,+64211234071,,Auckland,Auckland,NZ,Pacific/Auckland,2022-11-20T10:00:00Z,2024-02-15T12:00:00Z,2024-02-10T09:30:00Z,google,cpc,,1850.00,0.85
P072,leo.powell@email.com,Leo,Powell,+64211234072,,Hamilton,Waikato,NZ,Pacific/Auckland,2023-02-10T14:00:00Z,2024-03-20T10:00:00Z,2024-03-15T14:45:00Z,facebook,paid_social,,920.00,0.82
P073,willow.long@email.com,Willow,Long,+64211234073,,Dunedin,Otago,NZ,Pacific/Auckland,2022-08-05T11:30:00Z,2024-01-10T11:00:00Z,2024-01-05T10:00:00Z,email,newsletter,,2200.00,0.90
P074,hudson.patterson@email.com,Hudson,Patterson,+64211234074,,Queenstown,Otago,NZ,Pacific/Auckland,2023-04-28T09:00:00Z,2024-04-15T09:30:00Z,2024-04-10T13:30:00Z,referral,partner,,780.00,0.78
P075,paisley.hughes@email.com,Paisley,Hughes,+64211234075,,Auckland,Auckland,NZ,Pacific/Auckland,2022-06-18T13:30:00Z,2024-02-28T14:00:00Z,2024-02-25T11:00:00Z,google,organic,,1650.00,0.88
P076,adam.flores@email.com,Adam,Flores,+64211234076,,Wellington,Wellington,NZ,Pacific/Auckland,2023-08-20T10:00:00Z,2024-11-19T11:00:00Z,2024-11-17T09:45:00Z,instagram,paid_social,sale_alert,620.00,0.15
P077,skylar.washington@email.com,Skylar,Washington,+64211234077,Washington Events,Auckland,Auckland,NZ,Pacific/Auckland,2023-05-12T14:30:00Z,2024-11-20T10:00:00Z,2024-11-18T14:30:00Z,google,cpc,promo_code,880.00,0.12
P078,wyatt.butler@email.com,Wyatt,Butler,+64211234078,,Christchurch,Canterbury,NZ,Pacific/Auckland,2023-10-08T11:00:00Z,2024-11-18T09:00:00Z,2024-11-15T10:00:00Z,facebook,retargeting,,540.00,0.20
P079,claire.simmons@email.com,Claire,Simmons,+64211234079,,Tauranga,Bay of Plenty,NZ,Pacific/Auckland,2023-06-25T15:00:00Z,2024-11-21T12:00:00Z,2024-11-20T09:30:00Z,email,flash_sale,,720.00,0.18
P080,dylan.foster@email.com,Dylan,Foster,+64211234080,,Nelson,Nelson,NZ,Pacific/Auckland,2023-12-15T09:30:00Z,2024-11-15T10:00:00Z,2024-11-12T11:15:00Z,direct,,,450.00,0.25
P081,bella.gonzales@email.com,Bella,Gonzales,+64211234081,,Auckland,Auckland,NZ,Pacific/Auckland,2024-07-01T11:00:00Z,2024-11-18T14:00:00Z,2024-11-16T10:00:00Z,google,display,,0.00,0.45
P082,grayson.bryant@email.com,Grayson,Bryant,+64211234082,,Wellington,Wellington,NZ,Pacific/Auckland,2024-06-15T14:30:00Z,2024-11-19T09:30:00Z,2024-11-17T13:00:00Z,facebook,lead_ad,,0.00,0.48
P083,claire.alexander@email.com,Claire,Alexander,+64211234083,,Christchurch,Canterbury,NZ,Pacific/Auckland,2024-08-10T10:00:00Z,2024-11-20T11:00:00Z,2024-11-19T09:45:00Z,instagram,organic,,0.00,0.42
P084,julian.russell@email.com,Julian,Russell,+64211234084,,Hamilton,Waikato,NZ,Pacific/Auckland,2024-05-28T13:30:00Z,2024-11-15T12:00:00Z,2024-11-12T14:30:00Z,email,content_download,,0.00,0.50
P085,madeline.griffin@email.com,Madeline,Griffin,+64211234085,,Auckland,Auckland,NZ,Pacific/Auckland,2024-09-05T09:00:00Z,2024-11-21T10:00:00Z,2024-11-20T11:00:00Z,referral,blog,,0.00,0.40
P086,jaxon.diaz@email.com,Jaxon,Diaz,+64211234086,,Dunedin,Otago,NZ,Pacific/Auckland,2024-01-20T10:00:00Z,2024-04-10T11:00:00Z,2024-01-25T09:30:00Z,google,cpc,,0.00,0.92
P087,kinsley.hayes@email.com,Kinsley,Hayes,+64211234087,,Napier,Hawkes Bay,NZ,Pacific/Auckland,2024-02-15T14:00:00Z,2024-05-20T10:00:00Z,2024-02-18T14:00:00Z,facebook,paid_social,,0.00,0.90
P088,maverick.myers@email.com,Maverick,Myers,+64211234088,,Rotorua,Bay of Plenty,NZ,Pacific/Auckland,2023-11-10T11:30:00Z,2024-02-28T12:00:00Z,2023-11-15T10:15:00Z,direct,,,0.00,0.95
P089,autumn.ford@email.com,Autumn,Ford,+64211234089,,Auckland,Auckland,NZ,Pacific/Auckland,2024-03-05T09:00:00Z,2024-06-15T09:30:00Z,2024-03-08T11:30:00Z,instagram,organic,,0.00,0.88
P090,easton.hamilton@email.com,Easton,Hamilton,+64211234090,,Wellington,Wellington,NZ,Pacific/Auckland,2023-10-20T15:00:00Z,2024-01-10T14:00:00Z,2023-10-25T09:00:00Z,email,newsletter,,0.00,0.93
P091,naomi.graham@email.com,Naomi,Graham,+64211234091,Graham Desserts,Auckland,Auckland,NZ,Pacific/Auckland,2022-03-25T10:30:00Z,2024-11-20T09:00:00Z,2024-11-18T12:30:00Z,google,cpc,vip_exclusive,5200.00,0.02
P092,carson.sullivan@email.com,Carson,Sullivan,+64211234092,,Wellington,Wellington,NZ,Pacific/Auckland,2022-05-10T14:00:00Z,2024-11-19T11:00:00Z,2024-11-17T10:00:00Z,facebook,lookalike,,4100.00,0.03
P093,ruby.powell@email.com,Ruby,Powell,+64211234093,,Christchurch,Canterbury,NZ,Pacific/Auckland,2022-07-28T11:00:00Z,2024-11-21T10:00:00Z,2024-11-20T14:15:00Z,direct,,,3650.00,0.04
P094,colton.reynolds@email.com,Colton,Reynolds,+64211234094,Reynolds Catering,Hamilton,Waikato,NZ,Pacific/Auckland,2022-04-05T09:30:00Z,2024-11-18T12:00:00Z,2024-11-16T09:00:00Z,referral,vip_invite,,4800.00,0.02
P095,quinn.brooks@email.com,Quinn,Brooks,+64211234095,,Tauranga,Bay of Plenty,NZ,Pacific/Auckland,2022-08-18T13:30:00Z,2024-11-20T10:00:00Z,2024-11-19T11:30:00Z,google,cpc,premium,3200.00,0.05
P096,piper.nguyen@email.com,Piper,Nguyen,+64211234096,,Auckland,Auckland,NZ,Pacific/Auckland,2022-10-30T10:00:00Z,2024-11-15T09:30:00Z,2024-11-12T14:00:00Z,instagram,paid_social,,2850.00,0.06
P097,elliot.chen@email.com,Elliot,Chen,+64211234097,,Queenstown,Otago,NZ,Pacific/Auckland,2022-06-22T15:00:00Z,2024-11-19T14:00:00Z,2024-11-18T10:45:00Z,email,vip_newsletter,,3900.00,0.03
P098,brooke.kim@email.com,Brooke,Kim,+64211234098,Kim Patisserie,Auckland,Auckland,NZ,Pacific/Auckland,2022-02-14T11:30:00Z,2024-11-21T11:00:00Z,2024-11-20T09:30:00Z,direct,,,5800.00,0.01
P099,cole.patel@email.com,Cole,Patel,+64211234099,,Wellington,Wellington,NZ,Pacific/Auckland,2022-09-08T09:00:00Z,2024-11-18T10:00:00Z,2024-11-15T15:00:00Z,google,cpc,loyalty_program,2650.00,0.07
P100,vera.singh@email.com,Vera,Singh,+64211234100,,Dunedin,Otago,NZ,Pacific/Auckland,2022-11-25T14:30:00Z,2024-11-20T12:00:00Z,2024-11-19T10:15:00Z,facebook,retargeting,,3100.00,0.05
